Latitude	Longitude
33.64	-117.74
33.65	-117.74
33.65	-117.74
33.65	-117.74
33.65	-117.74
33.65	-117.74
33.65	-117.74
33.65	-117.75
33.65	-117.75
33.65	-117.75
33.65	-117.75
33.65	-117.75
33.65	-117.75
33.65	-117.76
33.65	-117.76
33.65	-117.76
33.65	-117.76
33.65	-117.76
33.65	-117.76
33.65	-117.77
33.65	-117.77
33.65	-117.77
33.65	-117.77
33.65	-117.77
33.66	-117.77
33.66	-117.78
33.66	-117.78
33.66	-117.78
33.66	-117.78
33.66	-117.78
33.66	-117.78
33.66	-117.78
33.66	-117.79
33.66	-117.79
33.66	-117.79
33.66	-117.79
33.66	-117.79
33.66	-117.79
33.66	-117.80
33.66	-117.80
33.66	-117.80
33.66	-117.80
33.66	-117.80
33.66	-117.80
33.67	-117.81
33.67	-117.81
33.67	-117.81
33.67	-117.81
33.67	-117.81
33.67	-117.81
33.67	-117.82
33.67	-117.82
33.67	-117.82
33.67	-117.82
33.67	-117.82
33.67	-117.82
33.67	-117.83
33.67	-117.83
33.67	-117.83
33.67	-117.83
33.67	-117.83
33.67	-117.83
33.67	-117.84
33.67	-117.84
33.68	-117.84
33.68	-117.84
33.68	-117.84
33.68	-117.84
33.68	-117.85
33.68	-117.85
33.68	-117.85
33.68	-117.85
33.68	-117.85
33.68	-117.85
33.68	-117.85
33.68	-117.86
33.68	-117.86
33.68	-117.86
33.68	-117.86
33.69	-117.86
33.69	-117.86
33.69	-117.87
33.69	-117.87
33.69	-117.87
33.69	-117.87
33.69	-117.87
33.69	-117.87
33.69	-117.88
33.69	-117.88
33.69	-117.88
33.69	-117.88
33.69	-117.88
33.69	-117.88
33.69	-117.89
33.69	-117.89
33.69	-117.89
33.69	-117.89
33.69	-117.89
33.69	-117.89
33.69	-117.90
33.69	-117.90
33.69	-117.90
33.69	-117.90
33.69	-117.90
33.69	-117.90
33.69	-117.91
33.69	-117.91
33.69	-117.91
33.69	-117.91
33.69	-117.91
33.69	-117.92
33.69	-117.92
33.69	-117.92
33.69	-117.92
33.69	-117.92
33.69	-117.92
33.69	-117.92
33.69	-117.93
33.69	-117.93
33.69	-117.93
33.69	-117.93
33.69	-117.93
33.70	-117.93
33.70	-117.94
33.70	-117.94
33.70	-117.94
33.70	-117.94
33.70	-117.94
33.70	-117.94
33.70	-117.95
33.70	-117.95
33.70	-117.95
33.70	-117.95
33.70	-117.95
33.70	-117.95
33.70	-117.95
33.71	-117.95
33.71	-117.96
33.71	-117.96
33.71	-117.96
33.71	-117.96
33.71	-117.96
33.71	-117.96
33.71	-117.96
33.71	-117.96
33.72	-117.97
33.72	-117.97
33.72	-117.97
33.72	-117.97
33.72	-117.97
33.72	-117.97
33.72	-117.97
33.72	-117.97
33.72	-117.98
33.72	-117.98
33.73	-117.98
33.73	-117.98
33.73	-117.98
33.73	-117.98
33.73	-117.98
33.73	-117.98
33.73	-117.99
33.73	-117.99
33.73	-117.99
33.73	-117.99
33.73	-117.99
33.74	-117.99
33.74	-117.99
33.74	-118.00
33.74	-118.00
33.74	-118.00
33.74	-118.00
33.74	-118.00
33.74	-118.00
33.74	-118.00
33.74	-118.00
33.75	-118.01
33.75	-118.01
33.75	-118.01
33.75	-118.01
33.75	-118.01
33.75	-118.01
33.75	-118.01
33.75	-118.01
33.75	-118.02
33.75	-118.02
33.76	-118.02
33.76	-118.02
33.76	-118.02
33.76	-118.02
33.76	-118.02
33.76	-118.02
33.76	-118.03
33.76	-118.03
33.76	-118.03
33.76	-118.03
33.77	-118.03
33.77	-118.03
33.77	-118.03
33.77	-118.03
33.77	-118.03
33.77	-118.04
33.77	-118.04
33.77	-118.04
33.77	-118.04
33.77	-118.04
33.77	-118.04
33.77	-118.05
33.77	-118.05
33.77	-118.05
33.77	-118.05
33.77	-118.05
33.77	-118.05
33.77	-118.06
33.77	-118.06
33.77	-118.06
33.77	-118.06
33.77	-118.06
33.77	-118.06
33.77	-118.07
33.77	-118.07
33.77	-118.07
33.77	-118.07
33.77	-118.07
33.77	-118.07
33.77	-118.08
33.77	-118.08
33.77	-118.08
33.77	-118.08
33.77	-118.08
33.77	-118.09
33.78	-118.09
33.78	-118.09
33.78	-118.09
33.78	-118.09
33.78	-118.09
33.78	-118.09
33.78	-118.09
33.78	-118.09
33.79	-118.09
33.79	-118.09
33.79	-118.10
33.79	-118.10
33.79	-118.10
33.79	-118.10
33.79	-118.10
33.79	-118.10
33.79	-118.10
33.79	-118.10
33.80	-118.11
33.80	-118.11
33.80	-118.11
33.80	-118.11
33.80	-118.11
33.80	-118.11
33.80	-118.11
33.80	-118.11
33.80	-118.12
33.80	-118.12
33.80	-118.12
33.80	-118.12
33.80	-118.12
33.80	-118.12
33.80	-118.13
33.80	-118.13
33.80	-118.13
33.80	-118.13
33.80	-118.13
33.80	-118.14
33.80	-118.14
33.80	-118.14
33.80	-118.14
33.81	-118.14
33.81	-118.14
33.81	-118.14
33.81	-118.15
33.81	-118.15
33.81	-118.15
33.81	-118.15
33.81	-118.15
33.81	-118.15
33.81	-118.16
33.81	-118.16
33.81	-118.16
33.81	-118.16
33.81	-118.16
33.81	-118.16
33.81	-118.17
33.81	-118.17
33.81	-118.17
33.81	-118.17
33.81	-118.17
33.81	-118.17
33.81	-118.18
33.81	-118.18
33.81	-118.18
33.81	-118.18
33.81	-118.18
33.82	-118.18
33.82	-118.19
33.82	-118.19
33.82	-118.19
33.82	-118.19
33.82	-118.19
33.82	-118.19
33.82	-118.19
33.82	-118.20
33.82	-118.20
33.82	-118.20
33.82	-118.20
33.82	-118.20
33.83	-118.20
33.83	-118.21
33.83	-118.21
33.83	-118.21
33.83	-118.21
33.83	-118.21
33.83	-118.21
33.83	-118.22
33.83	-118.22
33.83	-118.22
33.83	-118.22
33.83	-118.22
33.83	-118.22
33.83	-118.23
33.83	-118.23
33.83	-118.23
33.83	-118.23
33.83	-118.23
33.83	-118.23
33.83	-118.24
33.83	-118.24
33.83	-118.24
33.83	-118.24
33.83	-118.24
33.83	-118.24
33.83	-118.25
33.83	-118.25
33.83	-118.25
33.83	-118.25
33.83	-118.25
33.83	-118.25
33.83	-118.25
33.83	-118.26
33.83	-118.26
33.83	-118.26
33.83	-118.26
33.84	-118.26
33.84	-118.26
33.84	-118.26
33.84	-118.26
33.84	-118.26
33.84	-118.27
33.84	-118.27
33.84	-118.27
33.84	-118.27
33.85	-118.27
33.85	-118.27
33.85	-118.27
33.85	-118.27
33.85	-118.28
33.85	-118.28
33.85	-118.28
33.85	-118.28
33.85	-118.28
33.85	-118.28
33.86	-118.28
33.86	-118.28
33.86	-118.29
33.86	-118.29
33.86	-118.29
33.86	-118.29
33.86	-118.29
33.86	-118.29
33.86	-118.30
33.86	-118.30
33.86	-118.30
33.86	-118.30
33.86	-118.30
33.86	-118.30
33.86	-118.31
33.86	-118.31
33.86	-118.31
33.86	-118.31
33.86	-118.31
33.86	-118.31
33.86	-118.32
33.86	-118.32
33.86	-118.32
33.86	-118.32
33.86	-118.32
33.86	-118.32
33.86	-118.33
33.87	-118.33
33.87	-118.33
33.87	-118.33
33.87	-118.33
33.87	-118.33
33.87	-118.34
33.87	-118.34
33.87	-118.34
33.87	-118.34
33.87	-118.34
33.87	-118.34
33.87	-118.34
33.87	-118.34
33.88	-118.34
33.88	-118.35
33.88	-118.35
33.88	-118.35
33.88	-118.35
33.88	-118.35
33.88	-118.35
33.88	-118.35
33.89	-118.35
33.89	-118.35
33.89	-118.36
33.89	-118.36
33.89	-118.36
33.89	-118.36
33.89	-118.36
33.89	-118.36
33.89	-118.36
33.89	-118.36
33.89	-118.37
33.90	-118.37
33.90	-118.37
33.90	-118.37
33.90	-118.37
33.90	-118.37
33.90	-118.37
33.90	-118.37
33.90	-118.37
33.91	-118.37
33.91	-118.37
33.91	-118.37
33.91	-118.37
33.91	-118.37
33.91	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.93	-118.37
33.93	-118.37
33.93	-118.37
33.93	-118.37
33.93	-118.37
33.93	-118.37
33.94	-118.37
33.94	-118.37
33.94	-118.37
33.94	-118.37
33.94	-118.37
33.94	-118.37
33.94	-118.37
33.95	-118.37
33.95	-118.37
33.95	-118.37
33.95	-118.37
33.95	-118.37
33.95	-118.37
33.95	-118.37
33.96	-118.37
33.96	-118.37
33.96	-118.37
33.96	-118.37
33.96	-118.37
33.96	-118.37
33.96	-118.37
33.97	-118.37
33.97	-118.37
33.97	-118.37
33.97	-118.37
33.97	-118.37
33.97	-118.38
33.97	-118.38
33.97	-118.38
33.97	-118.38
33.97	-118.38
33.97	-118.38
33.98	-118.38
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.01	-118.41
34.01	-118.41
34.01	-118.42
34.01	-118.42
34.01	-118.42
34.01	-118.42
34.01	-118.42
34.01	-118.42
34.02	-118.42
34.02	-118.42
34.02	-118.42
34.02	-118.42
34.02	-118.42
34.02	-118.43
34.02	-118.43
34.02	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.44
34.03	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.06	-118.45
34.06	-118.45
34.06	-118.45
34.06	-118.45
34.06	-118.46
34.06	-118.46
34.06	-118.46
34.06	-118.46
34.06	-118.46
34.07	-118.46
34.07	-118.46
34.07	-118.46
34.07	-118.46
34.07	-118.46
34.07	-118.47
34.07	-118.47
34.07	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.09	-118.47
34.09	-118.47
34.09	-118.48
34.09	-118.48
34.09	-118.48
34.09	-118.48
34.09	-118.48
34.10	-118.48
34.10	-118.48
34.10	-118.48
34.10	-118.48
34.10	-118.48
34.10	-118.48
34.10	-118.48
34.11	-118.48
34.11	-118.48
34.11	-118.48
34.11	-118.48
34.11	-118.48
34.11	-118.48
34.11	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.13	-118.48
34.13	-118.48
34.13	-118.47
34.13	-118.47
34.13	-118.47
34.13	-118.47
34.13	-118.47
34.13	-118.47
34.14	-118.47
34.14	-118.47
34.14	-118.47
34.14	-118.47
34.14	-118.47
34.14	-118.47
34.14	-118.47
34.15	-118.47
34.15	-118.47
34.15	-118.47
34.15	-118.47
34.15	-118.47
34.15	-118.47
34.15	-118.47
34.16	-118.47
34.16	-118.47
34.16	-118.47
34.16	-118.47
34.16	-118.47
34.16	-118.47
34.16	-118.47
34.17	-118.47
34.17	-118.47
34.17	-118.47
34.17	-118.47
34.17	-118.47
34.17	-118.47
34.17	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.19	-118.47
34.19	-118.47
34.19	-118.47
34.19	-118.47
34.19	-118.47
34.19	-118.47
34.19	-118.47
34.20	-118.47
34.20	-118.47
34.20	-118.47
34.20	-118.47
34.20	-118.47
34.20	-118.47
34.20	-118.47
34.21	-118.47
34.21	-118.47
34.21	-118.47
34.21	-118.47
34.21	-118.47
34.21	-118.47
34.22	-118.47
34.22	-118.47
34.22	-118.47
34.22	-118.47
34.22	-118.47
34.22	-118.47
34.22	-118.47
34.23	-118.47
34.23	-118.47
34.23	-118.47
34.23	-118.47
34.23	-118.47
34.23	-118.47
34.23	-118.47
34.24	-118.47
34.24	-118.47
34.24	-118.47
34.24	-118.47
34.24	-118.47
34.24	-118.47
34.24	-118.47
34.25	-118.47
34.25	-118.47
34.25	-118.47
34.25	-118.47
34.25	-118.47
34.25	-118.47
34.25	-118.47
34.26	-118.47
34.26	-118.47
34.26	-118.47
34.26	-118.47
34.26	-118.47
34.26	-118.47
34.26	-118.47
34.27	-118.47
34.27	-118.47
34.27	-118.47
34.27	-118.47
34.27	-118.47
34.27	-118.47
34.27	-118.47
34.28	-118.47
34.28	-118.47
34.28	-118.47
34.28	-118.47
34.28	-118.47
34.28	-118.47
34.28	-118.47
34.29	-118.47
34.29	-118.47
34.29	-118.47
34.29	-118.47
34.30	-118.47